Kierunek,Szansa,Liczba miejsc,Liczba chętnych
geologia-studia-licencjackie-3-letnie,52.72727272727272,30.0,33.0,215.html
politologia,51.55555555555556,80.0,90.0,366.html
geoinformacja,46.77419354838709,50.0,62.0,212.html
cultural-studies,45.78947368421053,120.0,152.0,276.html
filozofia,44.845360824742265,75.0,97.0,191.html
studia-srodziemnomorskie,43.49999999999999,30.0,40.0,169.html
musicology,39.130434782608695,40.0,46.0,290.html
pedagogika-przedszkolna-i-wczesnoszkolna,38.32599118942731,150.0,227.0,421.html
theatre-studies,38.0327868852459,40.0,61.0,402.html
english-philology-and-education-kalisz,37.5,60.0,72.0,183.html
gospodarka-przestrzenna-studia-inzynierskie-3-5-letnie,36.94267515923567,100.0,157.0,220.html
geografia,36.82539682539682,40.0,63.0,202.html
zintegrowane-planowanie-rozwoju,36.25,30.0,48.0,414.html
zarzadzanie-srodowiskiem,36.25,40.0,64.0,412.html
bezpieczenstwo-narodowe,35.36585365853659,150.0,246.0,21.html
polish-philology,34.34210526315789,180.0,304.0,185.html
geologia-studia-inzynierskie-3-5-letnie,31.63636363636363,30.0,55.0,214.html
dialog-i-doradztwo-spoleczne,30.633802816901408,75.0,142.0,55.html
astronomia,28.48101265822785,50.0,79.0,16.html
pedagogika-specjalnosc-pedagogika-opiekunczo-wychowawcza,26.36363636363636,30.0,66.0,325.html
history-of-fine-arts,25.588235294117645,60.0,136.0,259.html
pedagogika-specjalnosc-socjoterapia-i-promocja-zdrowia,25.217391304347824,30.0,69.0,347.html
turystyka-i-rekreacja,25.217391304347824,120.0,276.0,398.html
geografia-specjalnosc-geomorfologia-stosowana,25.156626506024093,36.0,83.0,501.html
administration,24.472573839662445,100.0,237.0,2.html
filologie-regionow-specjalnosc-lingwistyka-kulturowa-region-azjatycki-dalekowschodni,23.93617021276596,25.0,47.0,534.html
special-education,23.015873015873012,50.0,126.0,418.html
classical-philology,21.88679245283019,20.0,53.0,106.html
archeologia,20.454545454545453,60.0,132.0,14.html
international-relations,19.205298013245034,150.0,453.0,386.html
prawo-europejskie,17.185185185185183,80.0,270.0,376.html
socjologia,15.415282392026578,80.0,301.0,384.html
filmoznawstwo-i-kultura-mediow,15.330396475770925,60.0,227.0,75.html
sinologia,15.064935064935062,40.0,154.0,437.html
hebraistyka,15.0,30.0,90.0,507.html
lingwistyka-stosowana-specjalnosc-lingwistyka-komputerowa,15.0,25.0,75.0,155.html
journalism-and-social-communication,14.846416382252558,150.0,586.0,57.html
bioinformatyka,14.361702127659576,30.0,94.0,29.html
tlumaczenie-kreatywne-i-specjalistyczne,13.919999999999998,24.0,100.0,549.html
english-celtic-philology,13.917525773195877,30.0,97.0,477.html
etnolingwistyka,11.8006993006993,75.0,286.0,509.html
kognitywistyka,11.473087818696884,90.0,353.0,272.html
groznawstwo,9.72067039106145,30.0,179.0,490.html
english-philology,9.081735620585269,200.0,991.0,177.html
prawo,7.3534072900158485,160.0,1262.0,374.html
japanese-studies,7.160493827160493,40.0,324.0,439.html
zarzadzanie-i-prawo-w-biznesie,6.612377850162867,70.0,614.0,405.html
scandinavian-philology-specialty-norwegian-philology,6.597156398104264,24.0,211.0,532.html
languages-and-literatures-of-world-regions,3.406940063091483,24.0,317.0,457.html
psychologia,3.114186851211073,120.0,1734.0,380.html
